Code,Title,Description
1111,Oilseed and Grain Farming,"This industry group comprises establishments primarily engaged in (1) growing oilseed and/or grain crops and/or (2) producing oilseed and grain seeds.  These crops have an annual life cycle and are typically grown in open fields.
"
1112,Vegetable and Melon Farming,"This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.  The crops included in this industry have an annual growth cycle and are grown in open fields.  Climate and cultural practices limit producing areas but often permit the growing of a combination of crops in a year.

Cross-References. Establishments primarily engaged in--"
1113,Fruit and Tree Nut Farming,"This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops.  The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
"
1114,"Greenhouse, Nursery, and Floriculture Production","This industry group comprises establishments primarily engaged in growing crops of any kind under cover and/or growing nursery stock and flowers.  ""Under cover"" is generally defined as greenhouses, cold frames, cloth houses, and lath houses.  The crops grown are removed at various stages of maturity and have annual and perennial life cycles.  The nursery stock includes short rotation woody crops that have growth cycles of 10 years or less.
"
1119,Other Crop Farming,"This industry group comprises establishments primarily engaged in (1) growing crops (except oilseed and/or grain; vegetable and/or melon; fruit and tree nut; and greenhouse, nursery, and/or floriculture products), such as tobacco, cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds, or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s) and a combination of fruit(s) and tree nut(s)).
"
1121,Cattle Ranching and Farming,"This industry group comprises establishments primarily engaged in raising cattle, milking dairy cattle, or feeding cattle for fattening.
"
1122,Hog and Pig Farming,See industry description for 112210.
1123,Poultry and Egg Production,"This industry group comprises establishments primarily engaged in breeding, hatching, and raising poultry for meat or egg production.
"
1124,Sheep and Goat Farming,"This industry group comprises establishments primarily engaged in raising sheep, lambs, and goats, or feeding lambs for fattening.
"
1125,Aquaculture,"This industry comprises establishments primarily engaged in the farm raising and production of aquatic animals or plants in controlled or selected aquatic environments.  These establishments use some form of intervention in the rearing process to enhance production, such as holding in captivity, regular stocking, feeding, and protecting from predators, pests, and disease.

Cross-References."
1129,Other Animal Production,"This industry group comprises establishments primarily engaged in raising animals and insects (except cattle, hogs and pigs, poultry, sheep and goats, and aquaculture) for sale or product production.  These establishments are primarily engaged in raising one of the following: bees, horses and other equines, rabbits and other fur-bearing animals, and so forth, and producing products, such as honey and other bee products.  Establishments primarily engaged in raising a combination of animals with no one animal or family of animals accounting for one-half of the establishment's agricultural production (i.e., value of animals for market) are included in this industry group.
"
1131,Timber Tract Operations,See industry description for 113110.
1132,Forest Nurseries and Gathering of Forest Products,See industry description for 113210.
1133,Logging,See industry description for 113310.
1141,Fishing,"This industry comprises establishments primarily engaged in the commercial catching or taking of finfish, shellfish, or miscellaneous marine products from a natural habitat, such as the catching of bluefish, eels, salmon, tuna, clams, crabs, lobsters, mussels, oysters, shrimp, frogs, sea urchins, and turtles.

Cross-References. Establishments primarily engaged in--"
1142,Hunting and Trapping,See industry description for 114210.
1151,Support Activities for Crop Production,"This industry comprises establishments primarily engaged in providing support activities for growing crops.

Illustrative Examples:

Aerial crop dusting or spraying (i.e., using specialized or dedicated aircraft)
Farm management services
Cotton ginning
Planting crops
Cultivating services
Vineyard cultivation services


Cross-References. Establishments primarily engaged in--"
1152,Support Activities for Animal Production,See industry description for 115210.
1153,Support Activities for Forestry,See industry description for 115310.
2111,Oil and Gas Extraction,See industry description for 211120.
2121,Coal Mining,"This industry comprises establishments primarily engaged in one or more of the following: (1) mining bituminous coal, anthracite coal, and lignite by underground mining, auger mining, strip mining, culm bank mining, and other surface mining; (2) developing coal mine sites; and (3) beneficiating (i.e., preparing) coal (e.g., cleaning, washing, screening, and sizing).

Cross-References. Establishments primarily engaged in--"
2122,Metal Ore Mining,"This industry group comprises establishments primarily engaged in developing mine sites or mining metallic minerals, and establishments primarily engaged in ore dressing and beneficiating (i.e., preparing) operations, such as crushing, grinding, washing, drying, sintering, concentrating, calcining, and leaching.  Beneficiating may be performed at mills operated in conjunction with the mines served or at mills, such as custom mills, operated separately.
"
2123,Nonmetallic Mineral Mining and Quarrying,"This industry group comprises establishments primarily engaged in developing mine sites, or in mining or quarrying nonmetallic minerals (except fuels).  Also included are certain well and brine operations, and preparation plants primarily engaged in beneficiating (e.g., crushing, grinding, washing, and concentrating) nonmetallic minerals.

Beneficiation is the process whereby the extracted material is reduced to particles which can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, and centrifugal separation.  In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis and distillation.  However, some treatments, such as heat treatments, take place in both the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site.
"
2131,Support Activities for Mining,"This industry comprises establishments primarily engaged in providing support services, on a contract or fee basis (except geophysical surveying and mapping, mine site preparation, construction, and transportation activities), required for the mining and quarrying of minerals and for the extraction of oil and gas.  Drilling, taking core samples, and making geological observations at prospective sites for minerals, on a contract or fee basis, are included in this industry.

Cross-References. Establishments primarily engaged in--"
2211,"Electric Power Generation, Transmission and Distribution","This industry group comprises establishments primarily engaged in generating, transmitting, and/or distributing electric power.  Establishments in this industry group may perform one or more of the following activities: (1) operate generation facilities that produce electric energy; (2) operate transmission systems that convey the electricity from the generation facility to the distribution system; and (3) operate distribution systems that convey electric power received from the generation facility or the transmission system to the final consumer.
"
2212,Natural Gas Distribution,See industry description for 221210.
2213,"Water, Sewage and Other Systems","This industry group comprises establishments primarily engaged in: (1) operating water treatment plants and/or water supply systems; (2) operating sewer systems or sewage treatment facilities; or (3) providing steam, heated air, or cooled air.
"
2361,Residential Building Construction,"This industry comprises establishments primarily responsible for the construction or remodeling and renovation of single-family and multifamily residential buildings.  Included in this industry are residential housing general contractors (i.e., new construction, remodeling, or renovating existing residential structures), for-sale builders and remodelers of residential structures, residential project construction management firms, and residential design-build firms.

Cross-References. Establishments primarily engaged in--"
2362,Nonresidential Building Construction,"This industry group comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of nonresidential buildings.  This industry group includes nonresidential general contractors, nonresidential for-sale builders, nonresidential design-build firms, and nonresidential project construction management firms.
"
2371,Utility System Construction,"This industry group comprises establishments primarily engaged in the construction of distribution lines and related buildings and structures for utilities (i.e., water, sewer, petroleum, gas, power, and communication).  All structures (including buildings) that are integral parts of utility systems (e.g., storage tanks, pumping stations, power plants, and refineries) are included in this industry group.
"
2372,Land Subdivision,See industry description for 237210.
2373,"Highway, Street, and Bridge Construction",See industry description for 237310.
