sector_code,sector_name,total_subsectors,cni_subsectors,cni_percentage,keywords
11,"Agriculture, Forestry, Fishing and Hunting",19,13,68.42,"farming, production, animal, forest, oilseed, grain, vegetable, melon, fruit, tree, greenhouse, nursery, floriculture, cattle, ranching, hog, poultry, egg, sheep, goat, aquaculture, timber, tract, nurseries, gathering, logging, fishing, hunting, trapping, forestry"
21,"Mining, Quarrying, and Oil and Gas Extraction",5,4,80.0,"mining, oil, gas, coal, metal, ore, nonmetallic, mineral, quarrying"
22,Utilities,3,3,100.0,"distribution, electric, power, transmission, natural, gas, water, sewage"
23,Construction,10,5,50.0,"building, construction, contractors, residential, nonresidential, utility, land, subdivision, highway, street, bridge, heavy, civil, engineering, exterior, finishing, specialty, trade"
42,Wholesale Trade,19,7,36.84,"goods, petroleum, motor, vehicle, furniture, home, furnishing, lumber, construction, materials, commercial, metal, mineral, household, appliances, electrical, electronic, hardware, plumbing, heating, machinery, durable, drugs, druggists, sundries, apparel, piece, notions, grocery, farm"
51,Information,11,8,72.73,"telecommunications, publishers, media, networks, providers, satellite, web, motion, picture, video, sound, recording, newspaper, periodical, book, directory, software, radio, television, broadcasting, stations, streaming, distribution, social, content, wired, wireless, computing, processing, hosting"
52,Finance and Insurance,11,11,100.0,"intermediation, credit, insurance, securities, commodity, investment, funds, monetary, authorities-central, bank, depository, nondepository, contracts, brokerage, exchanges, financial, carriers, agencies, brokerages, employee, benefit, pools"
53,Real Estate and Rental and Leasing,8,0,0.0,"rental, estate, lessors, leasing, brokers, automotive, consumer, goods, centers, commercial, industrial, machinery, nonfinancial, intangible, assets, copyrighted"
54,"Professional, Scientific, and Technical Services",9,2,22.22,"scientific, legal, accounting, tax, preparation, bookkeeping, payroll, architectural, engineering, computer, consulting, advertising, public"
55,Management of Companies and Enterprises,1,0,0.0,"companies, enterprises"
56,Administrative and Support and Waste Management and Remediation Services,11,4,36.36,"waste, office, administrative, employment, travel, arrangement, reservation, investigation, buildings, dwellings, treatment, disposal, remediation"
61,Educational Services,7,1,14.29,"schools, colleges, elementary, secondary, junior, universities, computer, training, trade, instruction, educational"
62,Health Care and Social Assistance,18,14,77.78,"care, health, hospitals, substance, abuse, medical, psychiatric, nursing, residential, physicians, dentists, practitioners, outpatient, centers, diagnostic, laboratories, home, ambulatory, surgical, specialty, skilled, intellectual, developmental, disability, mental, continuing, retirement, communities, assisted, living"
71,"Arts, Entertainment, and Recreation",9,1,11.11,"performing, arts, sports, artists, amusement, companies, spectator, promoters, events, managers, athletes, entertainers, public, figures, independent, writers, performers, museums, historical, sites, institutions, parks, arcades, gambling, recreation"
72,Accommodation and Food Services,6,2,33.33,"recreational, camps, places, traveler, accommodation, vehicle, parks, rooming, boarding, houses, dormitories, workers, special, food, drinking, alcoholic, beverages, restaurants, eating"
81,Other Services (except Public Administration),14,2,14.29,"repair, maintenance, organizations, personal, automotive, electronic, care, social, commercial, industrial, machinery, household, goods, death, drycleaning, laundry, religious, grantmaking, giving, advocacy, civic, labor, political, private, households"
92,Public Administration,8,6,75.0,"programs, executive, legislative, government, justice, public, order, safety, environmental, housing, urban, community, economic, space, technology, national, international, affairs"
